"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_T2M_X",1757,1920-05-20,14.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-21,15.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-22,17.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-23,18.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-24,18.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-25,20.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-26,22.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-27,14.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-28,13.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-29,17.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-30,25.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-31,19.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-01,19.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-02,15.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-03,14.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-04,13.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-05,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-06,13.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-07,12.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-08,13.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-09,14.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-10,15.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-11,16.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-12,20.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-13,19.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-14,17.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-15,17.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-16,22.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-17,20.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-18,20.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-19,17.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-20,22.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-21,25.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-22,18.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-23,21.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-24,17.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-25,15.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-26,18.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-27,17.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-28,18.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-29,24,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-06-30,28.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-01,21.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-02,24.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-03,22.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-04,29.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-05,21.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-06,24.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-07-07,27.9,0,1
